name,Monday ,Tuesday ,Wednesday ,Thursday ,Friday,Saturday ,Sunday,Weekly cost,Predict rate
"Cheese - Cheddar, Old White",39.5,28,62,52.8,51.9,45,59.6,44.3,62.9
Wine - Chianti Classico Riserva,51.7,65,26,56.6,40.7,46,48.1,23.6,85.5
Bag - Clear 7 Lb,51.0,44,47,43.8,43.9,56,34.1,42.9,63.1
Cod - Black Whole Fillet,44.1,36,30,43.7,48.1,57,34.3,12.1,54.4
Wine - Domaine Boyar Royal,61.3,50,40,46.8,54.5,21,36.9,25.2,27.6
Beef - Striploin Aa,51.2,24,65,47.2,42.7,36,51.7,24.1,14.2
Propel Sport Drink,62.9,79,41,49.5,55.2,40,35.3,21.5,54.5
Turkey - Ground. Lean,33.4,87,20,53.8,51.6,55,37.4,17.9,30.4
Fond - Chocolate,72.5,35,33,50.7,49.3,53,42.9,29.0,85.0
Rootbeer,37.9,57,56,49.9,45.4,31,53.3,43.0,44.7
"Brocolinni - Gaylan, Chinese",52.0,20,69,54.2,50.1,33,29.7,46.3,54.7
Sobe - Cranberry Grapefruit,28.6,34,70,43.9,56.8,45,27.7,42.0,24.1
Cheese - St. Paulin,48.4,57,31,44.0,55.2,29,25.4,11.0,26.1
Mussels - Cultivated,66.9,42,64,51.0,50.9,55,39.7,36.7,12.9
Wine - Hardys Bankside Shiraz,67.1,75,65,41.1,55.2,45,59.9,10.7,59.6
Tomatoes - Cherry,30.9,55,56,41.7,46.4,43,54.1,19.6,52.7
Sultanas,30.6,70,20,46.6,44.1,57,47.2,39.2,49.3
Flavouring - Rum,54.9,30,62,55.9,51.3,44,34.4,43.5,12.7
Chocolate - Chips Compound,29.2,66,61,59.2,53.8,31,35.6,12.7,81.9
"Juice - Apple, 1.36l",27.2,40,58,57.5,56.8,52,40.2,44.7,67.1
"Chocolate - Pistoles, White",40.5,67,54,53.1,52.3,46,48.9,37.5,19.5
Wine - Riesling Dr. Pauly,68.7,46,25,47.1,42.6,59,33.2,38.4,37.9
Lettuce - Romaine,43.9,30,42,53.5,54.9,46,44.3,15.5,21.9
Macaroons - Two Bite Choc,51.9,26,20,48.0,46.8,26,21.5,46.8,52.3
Wine - Champagne Brut Veuve,21.6,21,42,54.3,55.0,60,33.9,36.1,26.3
"Butter - Salted, Micro",32.2,25,70,59.1,45.2,29,23.9,38.6,36.3
"Soup - Knorr, Chicken Noodle",23.0,54,44,47.9,47.6,50,42.2,32.5,80.9
Wine - Coteaux Du Tricastin Ac,28.9,43,42,55.4,57.3,41,27.2,32.3,19.2
Table Cloth 72x144 White,73.4,72,22,57.1,52.5,32,52.1,45.8,16.5
"Beans - Fava, Canned",41.3,87,20,47.0,47.9,26,53.0,47.6,57.4
Turkey Tenderloin Frozen,71.2,58,70,42.9,43.8,26,52.3,29.3,27.3
Wine - Chateauneuf Du Pape,69.4,71,33,56.8,52.3,52,44.2,42.0,65.4
Wine - Casillero Deldiablo,42.7,30,49,45.0,43.0,57,22.9,44.2,45.7
"Oil - Truffle, White",27.1,68,70,57.1,51.7,32,54.5,16.0,18.4
Pears - Bartlett,75.5,86,22,46.1,53.1,42,22.0,18.9,14.0
Muffin Mix - Morning Glory,65.3,36,67,58.9,51.0,48,31.0,13.7,77.9
"7up Diet, 355 Ml",32.5,39,43,44.4,57.3,26,21.0,25.0,17.1
Tuna - Bluefin,26.9,21,48,41.4,59.7,60,38.4,20.7,67.8
"Nut - Chestnuts, Whole",77.7,64,57,58.5,57.1,22,27.4,26.9,12.7
Pasta - Fusili Tri - Coloured,57.1,37,66,51.2,52.2,24,24.0,15.4,51.5
"Soup - Knorr, Ministrone",37.9,82,23,45.2,48.0,58,22.0,27.0,86.8
Cloves - Whole,22.3,58,58,41.2,47.1,47,56.0,47.3,26.1
"Wine - Red, Mouton Cadet",77.6,25,30,48.5,47.9,28,20.8,19.5,12.2
Parsley - Fresh,73.9,62,24,51.7,55.5,53,28.0,16.3,87.1
Cheese - Camembert,32.2,53,68,59.4,58.8,42,52.6,13.8,69.0
Kaffir Lime Leaves,57.8,39,46,58.0,52.3,45,22.0,31.0,82.8
Anchovy Fillets,44.2,68,20,59.6,44.1,30,53.3,32.1,62.2
Raisin - Dark,46.2,51,70,42.1,53.1,43,45.0,28.3,84.5
Island Oasis - Banana Daiquiri,38.2,35,58,51.9,40.0,35,53.7,18.4,23.8
Food Colouring - Blue,64.3,33,29,58.8,52.5,24,27.7,19.4,55.8
Beer - Molson Excel,74.6,32,55,45.7,58.7,32,36.3,36.4,24.7
Capers - Ox Eye Daisy,21.0,32,65,44.7,53.4,38,51.9,43.7,82.7
Longos - Penne With Pesto,29.6,74,65,49.5,59.9,29,42.7,47.5,35.1
Dome Lid Clear P92008h,27.8,79,58,47.3,46.2,46,20.0,16.3,32.6
Chocolate - Unsweetened,28.9,88,32,56.5,51.9,38,33.8,36.5,13.1
Pectin,52.9,32,47,47.5,47.3,49,51.9,12.4,66.4
Squeeze Bottle,41.4,23,68,59.7,56.2,57,52.3,47.2,34.5
Shrimp - Black Tiger 16/20,78.8,38,66,59.4,48.3,30,51.1,11.9,89.3
Liqueur - Melon,35.3,31,41,48.0,41.0,31,25.5,17.0,88.2
Bar Special K,41.5,54,32,54.0,49.1,25,26.1,48.0,39.5
